normalized_street,normalized_cross,street,cross,query,status,match_count,matching_intersection_full,lng,lat,request_ms,attempts,http_status,error,fetched_at
charles street south,boylston street,Charles Street South,Boylston St,Charles Street South and Boylston St,ok,3,"Charles St S & Boylston St, Beacon Hill, MA 02116",-71.067505500001,42.352524000003,455,1,200,,2026-06-04T18:03:38.462Z
charles street south,tremont street,Charles Street South,Tremont St,Charles Street South and Tremont St,ok,1,"Charles St S & Tremont St, Chinatown, MA 02116",-71.066628000001,42.348780000003,1324,1,200,,2026-06-04T18:03:40.533Z
charlesgate east,back street,Charlesgate East,Back St,Charlesgate East and Back St,ok,1,"Charlesgate E & Back St, Fenway, MA 02215",-71.091315000001,42.351012000003,497,1,200,,2026-06-04T18:03:41.031Z
charlesgate east,newbury street,Charlesgate East,Newbury St,Charlesgate East and Newbury St,ok,1,"Charlesgate E & Newbury St, Back Bay, MA 02115",-71.091567000001,42.348060000003,435,1,200,,2026-06-04T18:03:42.171Z
charlesgate west,beacon street,Charlesgate West,Beacon St,Charlesgate West and Beacon St,ok,1,"Charlesgate W & Beacon St, Fenway, MA 02215",-71.092872000001,42.349959000003,340,1,200,,2026-06-04T18:03:43.278Z
charlesgate west,commonwealth avenue,Charlesgate West,Commonwealth Ave,Charlesgate West and Commonwealth Ave,ok,2,"Charlesgate W & Commonwealth Ave, Fenway, MA 02215",-71.092881000001,42.349176000003,440,1,200,,2026-06-04T18:03:44.579Z
charlotte street,blue hill avenue,Charlotte St,Blue Hill Ave,Charlotte St and Blue Hill Ave,ok,1,"Charlotte St & Blue Hill Ave, Dorchester, MA 02121",-71.086059000001,42.300378000003,408,1,200,,2026-06-04T18:03:45.747Z
charlotte street,bradshaw street,Charlotte St,Bradshaw St,Charlotte St and Bradshaw St,ok,1,"Charlotte St & Bradshaw St, Dorchester, MA 02121",-71.083764000001,42.298506000003,293,1,200,,2026-06-04T18:03:46.833Z
charter street,commercial street,Charter St,Commercial St,Charter St and Commercial St,ok,1,"Charter St & Commercial St, North End, MA 02109",-71.056669500001,42.368220000003,340,1,200,,2026-06-04T18:03:48.080Z
charter street,hanover street,Charter St,Hanover St,Charter St and Hanover St,ok,1,"Charter St & Hanover St, North End, MA 02109",-71.052849000001,42.365826000003,370,1,200,,2026-06-04T18:03:49.313Z
chase street,east cottage street,Chase St,East Cottage St,Chase St and East Cottage St,ok,1,"Chase St & E Cottage St, Dorchester, MA 02125",-71.059608000001,42.318864000003,331,1,200,,2026-06-04T18:03:50.474Z
chase street,willis street,Chase St,Willis St,Chase St and Willis St,ok,1,"Chase St & Willis St, Dorchester, MA 02125",-71.059878000001,42.317973000003,303,1,200,,2026-06-04T18:03:51.648Z
chatham street,commercial street,Chatham St,Commercial St,Chatham St and Commercial St,ok,1,"Chatham St & Commercial St, Downtown, MA 02109",-71.053618500001,42.359742000003,393,1,200,,2026-06-04T18:03:52.940Z
chatham street,merchants row,Chatham St,Merchants Row,Chatham St and Merchants Row,ok,1,"Chatham St & Merchants Row, Downtown, MA 02109",-71.055679500001,42.359544000003,395,1,200,,2026-06-04T18:03:54.141Z
chaucer street,curtis street,Chaucer St,Curtis St,Chaucer St and Curtis St,ok,1,"Chaucer St & Curtis St, East Boston, MA 02128",-71.021178000001,42.383061000003,317,1,200,,2026-06-04T18:03:55.265Z
chaucer street,moore street,Chaucer St,Moore St,Chaucer St and Moore St,ok,1,"Chaucer St & Moore St, East Boston, MA 02128",-71.019207000001,42.383790000003,398,1,200,,2026-06-04T18:03:56.544Z
chauncy street,essex street,Chauncy St,Essex St,Chauncy St and Essex St,ok,1,"Chauncy St & Essex St, Chinatown, MA 02111",-71.061129000001,42.352524000003,459,1,200,,2026-06-04T18:03:57.808Z
chauncy street,summer street,Chauncy St,Summer St,Chauncy St and Summer St,ok,1,"Chauncy St & Summer St, Downtown, MA 02110",-71.059144500001,42.354495000003,361,1,200,,2026-06-04T18:03:58.914Z
chelsea street,constitition road,Chelsea St,Constitition Rd,Chelsea St and Constitition Rd,ok,2,"Chelsea St & Constitution Rd, Charlestown, MA 02129",-71.058402000001,42.373674000003,364,1,200,,2026-06-04T18:04:00.116Z
chelsea street,maverick street,Chelsea St,Maverick St,Chelsea St and Maverick St,ok,1,"Chelsea St & Maverick St, East Boston, MA 02128",-71.038719000001,42.370056000003,329,1,200,,2026-06-04T18:04:01.280Z
chelsea street,porter street,Chelsea St,Porter St,Chelsea St and Porter St,ok,1,"Chelsea St & Porter St, East Boston, MA 02128",-71.035465500001,42.372774000003,399,1,200,,2026-06-04T18:04:02.550Z
chelsea street,prescott street,Chelsea St,Prescott St,Chelsea St and Prescott St,ok,1,"Chelsea St & Prescott St, East Boston, MA 02128",-71.029192500001,42.378156000003,1442,1,200,,2026-06-04T18:04:04.794Z
chelsea street,rutherford avenue,Chelsea St,Rutherford Ave,Chelsea St and Rutherford Ave,ok,1,"Chelsea St & New Rutherford Ave, Charlestown, MA 02129",-71.062200000001,42.371064000003,603,1,200,,2026-06-04T18:04:05.399Z
chelsea street,warren street,Chelsea St,Warren St,Chelsea St and Warren St,ok,1,"Chelsea St & Warren St, Charlestown, MA 02129",-71.060508000001,42.372234000003,328,1,200,,2026-06-04T18:04:06.326Z
cheney street,blue hill avenue,Cheney St,Blue Hill Avenue,Cheney St and Blue Hill Avenue,ok,1,"Cheney St & Blue Hill Ave, Roxbury, MA 02121",-71.083278000001,42.308478000003,473,1,200,,2026-06-04T18:04:07.672Z
cheney street,elm hill avenue,Cheney St,Elm Hill Avenue,Cheney St and Elm Hill Avenue,ok,1,"Cheney St & Elm Hill Ave, Roxbury, MA 02121",-71.086954500001,42.310260000003,417,1,200,,2026-06-04T18:04:08.818Z
cheney street,elm hill street,Cheney St,Elm Hill Street,Cheney St and Elm Hill Street,ok,1,"Cheney St & Elm Hill Ave, Roxbury, MA 02121",-71.086954500001,42.310260000003,299,1,200,,2026-06-04T18:04:09.902Z
cherokee street,hillside street,Cherokee St,Hillside St,Cherokee St and Hillside St,ok,1,"Cherokee St & Hillside St, Mission Hill, MA 02120",-71.100499500001,42.329853000003,863,1,200,,2026-06-04T18:04:11.666Z
cherokee street,pontiac street,Cherokee St,Pontiac St,Cherokee St and Pontiac St,ok,1,"Cherokee St & Pontiac St, Mission Hill, MA 02120",-71.101741500001,42.330978000003,303,1,200,,2026-06-04T18:04:12.307Z
chester park,shawmut avenue,Chester Park,Shawmut Ave,Chester Park and Shawmut Ave,ok,1,"Chester Park & Shawmut Ave, South End, MA 02118",-71.078215500001,42.337575000003,413,1,200,,2026-06-04T18:04:13.619Z
chester park,tremont street,Chester Park,Tremont St,Chester Park and Tremont St,ok,1,"Park St & Tremont St, Downtown, MA 02108",-71.062002000001,42.356511000003,346,1,200,,2026-06-04T18:04:14.751Z
chester street,ashford street,Chester St,Ashford St,Chester St and Ashford St,ok,1,"Chester St & Ashford St, Allston, MA 02134",-71.127814500001,42.354504000003,307,1,200,,2026-06-04T18:04:15.912Z
chester street,brighton avenue,Chester St,Brighton Av,Chester St and Brighton Av,ok,1,"Chester St & Brighton Ave, Allston, MA 02134",-71.128399500001,42.352506000003,276,1,200,,2026-06-04T18:04:17.082Z
chester street,commonwealth avenue,Chester St,Commonwealth Ave,Chester St and Commonwealth Ave,ok,1,"Chester St & Commonwealth Ave, Allston, MA 02134",-71.128926000001,42.350706000003,485,1,200,,2026-06-04T18:04:18.491Z
chesterton street,allerton street,Chesterton St,Allerton St,Chesterton St and Allerton St,ok,1,"Chesterton St & Allerton St, Roxbury, MA 02119",-71.071636500001,42.329547000003,477,1,200,,2026-06-04T18:04:19.683Z
chesterton street,massachusetts avenue,Chesterton St,Massachusetts Ave,Chesterton St and Massachusetts Ave,ok,1,"Chesterton St & Massachusetts Ave, Roxbury, MA 02118",-71.070003000001,42.330528000003,470,1,200,,2026-06-04T18:04:20.878Z
chestnut avenue,boylston street,Chestnut Ave,Boylston St,Chestnut Ave and Boylston St,ok,1,"Chestnut Ave & Boylston St, Jamaica Plain, MA 02130",-71.106687000001,42.317262000003,495,1,200,,2026-06-04T18:04:22.104Z
chestnut avenue,centre street,Chestnut Ave,Centre St,Chestnut Ave and Centre St,ok,1,"Chestnut Ave & Centre St, Jamaica Plain, MA 02130",-71.101746000001,42.322896000003,440,1,200,,2026-06-04T18:04:23.249Z
chestnut avenue,mozart street,Chestnut Ave,Mozart St,Chestnut Ave and Mozart St,ok,1,"Chestnut Ave & Mozart St, Jamaica Plain, MA 02130",-71.103991500001,42.319989000003,535,1,200,,2026-06-04T18:04:24.547Z
chestnut hill avenue,brookline town line,Chestnut Hill Ave,Brookline Town Line,Chestnut Hill Ave and Brookline Town Line,ok,1,"Chestnut St & Lime St, Beacon Hill, MA 02108",-71.071767000001,42.356857500003,445,1,200,,2026-06-04T18:04:25.657Z
chestnut hill avenue,commonwealth avenue,Chestnut Hill Ave,Commonwealth Ave,Chestnut Hill Ave and Commonwealth Ave,ok,2,"Chestnut Hill Ave & Commonwealth Ave, Brighton, MA 02135",-71.153811000001,42.338187000003,543,1,200,,2026-06-04T18:04:26.955Z
chestnut hill avenue,washington street,Chestnut Hill Ave,Washington St,Chestnut Hill Ave and Washington St,ok,1,"Chestnut Hill Ave & Washington St, Brighton, MA 02135",-71.153428500001,42.349104000003,447,1,200,,2026-06-04T18:04:28.063Z
chestnut street,charles street,Chestnut St,Charles St,Chestnut St and Charles St,ok,1,"Chestnut St & Charles St, Beacon Hill, MA 02108",-71.069881500001,42.357024000003,337,1,200,,2026-06-04T18:04:29.152Z
chestnut street,chelsea street,Chestnut St,Chelsea St,Chestnut St and Chelsea St,ok,1,"Chestnut St & Chelsea St, Charlestown, MA 02129",-71.058611250001,42.373786500003,523,1,200,,2026-06-04T18:04:30.539Z
chestnut street,david g mugar way,Chestnut St,David G Mugar Way,Chestnut St and David G Mugar Way,ok,1,"Chestnut St & David G Mugar Way, Beacon Hill, MA 02114",-71.072919000001,42.356340000003,319,1,200,,2026-06-04T18:04:31.538Z
chestnut street,monument square,Chestnut St,Monument Sq,Chestnut St and Monument Sq,ok,1,"Chestnut St & Monument Sq, Charlestown, MA 02129",-71.060026500001,42.376077000003,301,1,200,,2026-06-04T18:04:32.722Z
chestnut street,walnut street,Chestnut St,Walnut St,Chestnut St and Walnut St,ok,1,"Chestnut St & Walnut St, Beacon Hill, MA 02108",-71.066119500001,42.357843000003,377,1,200,,2026-06-04T18:04:33.996Z
chilcott place,washington street,Chilcott Pl,Washington St,Chilcott Pl and Washington St,ok,1,"Chilcott Pl & Washington St, Jamaica Plain, MA 02130",-71.100490500001,42.313581000003,278,1,200,,2026-06-04T18:04:35.100Z
chipman street,norfolk street,Chipman St,Norfolk St,Chipman St and Norfolk St,ok,1,"Chipman St & Norfolk St, Dorchester, MA 02124",-71.074737000001,42.288867000003,384,1,200,,2026-06-04T18:04:36.409Z
chipman street,torrey street,Chipman St,Torrey St,Chipman St and Torrey St,ok,1,"Chipman St & Torrey St, Dorchester, MA 02124",-71.074233000001,42.287130000003,431,1,200,,2026-06-04T18:04:37.655Z
chiswick road,chestnut hill avenue,Chiswick Rd,Chestnut Hill Ave,Chiswick Rd and Chestnut Hill Ave,ok,1,"Chiswick Rd & Chestnut Hill Ave, Brighton, MA 02135",-71.154765000001,42.341211000003,292,1,200,,2026-06-04T18:04:38.717Z
chiswick road,commonwealth avenue,Chiswick Rd,Commonwealth Ave,Chiswick Rd and Commonwealth Ave,ok,1,"Chiswick Rd & Commonwealth Ave, Brighton, MA 02135",-71.151376500001,42.340437000003,314,1,200,,2026-06-04T18:04:39.940Z
chiswick road,englewood avenue,Chiswick Rd,Englewood Ave,Chiswick Rd and Englewood Ave,ok,1,"Chiswick Rd & Englewood Ave, Brighton, MA 02135",-71.150692500001,42.337494000003,498,1,200,,2026-06-04T18:04:41.325Z
church street,adams street,Church St,Adams St,Church St and Adams St,ok,1,"Church St & Adams St, Dorchester, MA 02122",-71.064000000001,42.308442000003,345,1,200,,2026-06-04T18:04:42.373Z
church street,columbus avenue,Church St,Columbus Ave,Church St and Columbus Ave,ok,1,"Church St & Columbus Ave, Downtown, MA 02116",-71.068788000001,42.351066000003,344,1,200,,2026-06-04T18:04:43.573Z
church street,east street,Church St,East St,Church St and East St,ok,1,"Church St & East St, Dorchester, MA 02122",-71.059243500001,42.307605000003,374,1,200,,2026-06-04T18:04:44.803Z
church street,stuart street,Church St,Stuart St,Church St and Stuart St,ok,1,"Church St & Stuart St, Downtown, MA 02116",-71.068657500001,42.350508000003,415,1,200,,2026-06-04T18:04:46.043Z
circuit street,walnut avenue,Circuit St,Walnut Ave,Circuit St and Walnut Ave,ok,2,"Circuit St & Walnut Ave, Roxbury, MA 02119",-71.084070000001,42.323580000003,395,1,200,,2026-06-04T18:04:47.226Z
circuit street,washington street,Circuit St,Washington St,Circuit St and Washington St,ok,1,"Circuit St & Washington St, Roxbury, MA 02119",-71.087904000001,42.325704000003,473,1,200,,2026-06-04T18:04:48.503Z
city square,chelsea street,City Sq,Chelsea St,City Sq and Chelsea St,ok,1,"City Sq & Chelsea St, Charlestown, MA 02129",-71.061102000001,42.371811000003,308,1,200,,2026-06-04T18:04:49.540Z
city square,new rutherford avenue,City Sq,New Rutherford Ave,City Sq and New Rutherford Ave,ok,1,"City Sq & New Rutherford Ave, Charlestown, MA 02129",-71.062695000001,42.371451000003,329,1,200,,2026-06-04T18:04:50.762Z
claremont park,claremont street,Claremont Park,Claremont St,Claremont Park and Claremont St,ok,1,"Claremont Park & Claremont St, South End, MA 02118",-71.081878500001,42.342579000003,356,1,200,,2026-06-04T18:04:51.988Z
claremont park,columbus avenue,Claremont Park,Columbus Ave,Claremont Park and Columbus Ave,ok,1,"Claremont Park & Columbus Ave, South End, MA 02118",-71.080501500001,42.341652000003,772,1,200,,2026-06-04T18:04:53.606Z
clarendon street,beacon street,Clarendon St,Beacon St,Clarendon St and Beacon St,ok,1,"Clarendon St & Beacon St, Back Bay, MA 02116",-71.076964500001,42.354243000003,394,1,200,,2026-06-04T18:04:54.431Z
clarendon street,boylston street,Clarendon St,Boylston St,Clarendon St and Boylston St,ok,1,"Clarendon St & Boylston St, Back Bay, MA 02116",-71.075205000001,42.350679000003,306,1,200,,2026-06-04T18:04:55.544Z
clarendon street,columbus avenue,Clarendon St,Columbus Ave,Clarendon St and Columbus Ave,ok,1,"Clarendon St & Columbus Ave, South End, MA 02116",-71.073531000001,42.347277000003,463,1,200,,2026-06-04T18:04:56.903Z
clarendon street,commonwealth avenue,Clarendon St,Commonwealth Ave,Clarendon St and Commonwealth Ave,ok,2,"Clarendon St & Commonwealth Ave, Back Bay, MA 02116",-71.076168000001,42.352641000003,327,1,200,,2026-06-04T18:04:57.966Z
clarendon street,tremont street,Clarendon St,Tremont St,Clarendon St and Tremont St,ok,1,"Clarendon St & Tremont St, South End, MA 02116",-71.071825500001,42.343866000003,337,1,200,,2026-06-04T18:04:59.180Z
clark street,commercial street,Clark St,Commercial St,Clark St and Commercial St,ok,1,"Clark St & Commercial St, North End, MA 02109",-71.051062500001,42.364836000003,401,1,200,,2026-06-04T18:05:00.443Z
clark street,hanover street,Clark St,Hanover St,Clark St and Hanover St,ok,1,"Clark St & Hanover St, North End, MA 02113",-71.053056000001,42.365277000003,317,1,200,,2026-06-04T18:05:01.559Z
clarkson street,barry street,Clarkson St,Barry St,Clarkson St and Barry St,ok,1,"Clarkson St & Barry St, Dorchester, MA 02125",-71.070030000001,42.307524000003,437,1,200,,2026-06-04T18:05:02.882Z
clarkson street,hendry street,Clarkson St,Hendry St,Clarkson St and Hendry St,ok,1,"Clarkson St & Hendry St, Dorchester, MA 02122",-71.065440000001,42.309756000003,471,1,200,,2026-06-04T18:05:04.118Z
clarkson street,quincy street,Clarkson St,Quincy St,Clarkson St and Quincy St,ok,1,"Clarkson St & Quincy St, Dorchester, MA 02125",-71.066313000001,42.309171000003,383,1,200,,2026-06-04T18:05:05.232Z
clarkwood street,blue hill avenue,Clarkwood St,Blue Hill Ave,Clarkwood St and Blue Hill Ave,ok,1,"Clarkwood St & Blue Hill Ave, Mattapan, MA 02126",-71.092647000001,42.280965000003,450,1,200,,2026-06-04T18:05:06.499Z
clarkwood street,norfolk street,Clarkwood St,Norfolk St,Clarkwood St and Norfolk St,ok,1,"Clarkwood St & Norfolk St, Mattapan, MA 02126",-71.089168500001,42.279390000003,351,1,200,,2026-06-04T18:05:07.599Z
claxton street,brookway road,Claxton St,Brookway Rd,Claxton St and Brookway Rd,ok,1,"Claxton St & Brookway Rd, Roslindale, MA 02131",-71.119057500001,42.293682000003,362,1,200,,2026-06-04T18:05:08.812Z
claxton street,washington street,Claxton St,Washington St,Claxton St and Washington St,ok,1,"Claxton St & Washington St, Roslindale, MA 02131",-71.119921500001,42.294159000003,281,1,200,,2026-06-04T18:05:09.931Z
claybourne street,bowdoin street,Claybourne St,Bowdoin Street,Claybourne St and Bowdoin Street,ok,1,"Claybourne St & Bowdoin St, Dorchester, MA 02121",-71.072964000001,42.299586000003,357,1,200,,2026-06-04T18:05:11.209Z
claybourne street,park street,Claybourne St,Park Street,Claybourne St and Park Street,ok,1,"Claybourne St & Park St, Dorchester, MA 02124",-71.071141500001,42.295752000003,335,1,200,,2026-06-04T18:05:12.388Z
claymoss road,commonwealth avenue,Claymoss Rd,Commonwealth Ave,Claymoss Rd and Commonwealth Ave,ok,1,"Claymoss Rd & Commonwealth Ave, Brighton, MA 02135",-71.143614000001,42.343245000003,393,1,200,,2026-06-04T18:05:13.647Z
claymoss road,monastery road,Claymoss Rd,Monastery Rd,Claymoss Rd and Monastery Rd,ok,1,"Claymoss Rd & Monastery Rd, Brighton, MA 02135",-71.146872000001,42.345396000003,424,1,200,,2026-06-04T18:05:14.879Z
clayton street,freeport street,Clayton St,Freeport Street,Clayton St and Freeport Street,ok,1,"Clayton St & Freeport St, Dorchester, MA 02122",-71.055999000001,42.304545000003,277,1,200,,2026-06-04T18:05:15.933Z
clayton street,park street,Clayton St,Park Street,Clayton St and Park Street,ok,1,"Clayton St & Park St, Dorchester, MA 02122",-71.055639000001,42.300315000003,483,1,200,,2026-06-04T18:05:17.338Z
clearwater drive,maryknoll street,Clearwater Dr,Maryknoll St,Clearwater Dr and Maryknoll St,ok,1,"Clearwater Dr & Maryknoll St, Mattapan, MA 02126",-71.077891500001,42.274467000003,340,1,200,,2026-06-04T18:05:18.397Z
clearwater drive,morton street,Clearwater Dr,Morton St,Clearwater Dr and Morton St,ok,1,"Clearwater Dr & Morton St, Mattapan, MA 02126",-71.075007000001,42.276303000003,432,1,200,,2026-06-04T18:05:19.689Z
clementine park,centre street,Clementine Park,Centre St,Clementine Park and Centre St,ok,1,"Clementine Park & Centre St, Dorchester, MA 02124",-71.065417500001,42.292098000003,303,1,200,,2026-06-04T18:05:20.761Z
clementine park,dayton street,Clementine Park,Dayton St,Clementine Park and Dayton St,ok,1,"Clementine Park & Dayton St, Dorchester, MA 02124",-71.065651500001,42.293304000003,563,1,200,,2026-06-04T18:05:22.221Z
cleveland street,moreland street,Cleveland St,Moreland St,Cleveland St and Moreland St,ok,1,"Cleveland St & Moreland St, Roxbury, MA 02119",-71.081226000001,42.325308000003,286,1,200,,2026-06-04T18:05:23.146Z
cleveland street,winthrop street,Cleveland St,Winthrop St,Cleveland St and Winthrop St,ok,1,"Cleveland St & Winthrop St, Roxbury, MA 02119",-71.080308000001,42.326001000003,1345,1,200,,2026-06-04T18:05:25.406Z
clevemont avenue,everett street,Clevemont Ave,Everett St,Clevemont Ave and Everett St,ok,1,"Clevemont Ave & Everett St, Allston, MA 02135",-71.138785500001,42.354621000003,483,1,200,,2026-06-04T18:05:25.892Z
clifford street,blue hill avenue,Clifford St,Blue Hill Ave,Clifford St and Blue Hill Ave,ok,1,"Clifford St & Blue Hill Ave, Roxbury, MA 02125",-71.077752000001,42.319053000003,442,1,200,,2026-06-04T18:05:27.051Z
clifford street,warren street,Clifford St,Warren St,Clifford St and Warren St,ok,1,"Clifford St & Warren St, Roxbury, MA 02119",-71.081797500001,42.320754000003,378,1,200,,2026-06-04T18:05:28.188Z
clifton street,east cottage street,Clifton St,East Cottage St,Clifton St and East Cottage St,ok,1,"Clifton St & E Cottage St, Roxbury, MA 02119",-71.070120000001,42.321573000003,356,1,200,,2026-06-04T18:05:29.367Z
clifton street,george street,Clifton St,George St,Clifton St and George St,ok,1,"Clifton St & George St, Roxbury, MA 02119",-71.071177500001,42.323976000003,395,1,200,,2026-06-04T18:05:30.607Z
clinton street,commercial street,Clinton St,Commercial St,Clinton St and Commercial St,ok,1,"Clinton St & Commercial St, Downtown, MA 02109",-71.053758000001,42.360804000003,495,1,200,,2026-06-04T18:05:31.908Z
clinton street,north street,Clinton St,North St,Clinton St and North St,ok,1,"Clinton St & North St, Downtown, MA 02109",-71.055868500001,42.360714000003,358,1,200,,2026-06-04T18:05:32.971Z
clipper ship lane,msgr jacobbe road,Clipper Ship Ln,Msgr Jacobbe Rd,Clipper Ship Ln and Msgr Jacobbe Rd,ok,1,"Monsignor Albert A. Jacobbe Rd & Clipper Ship Ln, East Boston, MA 02128",-71.041491000001,42.368697000003,0,1,,,2026-06-04T23:46:20.329Z
clipper ship lane,sumner street,Clipper Ship Ln,Sumner St,Clipper Ship Ln and Sumner St,ok,1,"Clipper Ship Ln & Sumner St, East Boston, MA 02128",-71.040919500001,42.369408000003,324,1,200,,2026-06-04T18:05:35.339Z
cobden street,walnut avenue,Cobden St,Walnut Ave,Cobden St and Walnut Ave,ok,1,"Cobden St & Walnut Ave, Roxbury, MA 02119",-71.093196000001,42.316533000003,297,1,200,,2026-06-04T18:05:36.514Z
cobden street,washington street,Cobden St,Washington St,Cobden St and Washington St,ok,1,"Cobden St & Washington St, Roxbury, MA 02119",-71.096431500001,42.317703000003,530,1,200,,2026-06-04T18:05:37.948Z
codman park,brinton street,Codman Park,Brinton St,Codman Park and Brinton St,ok,1,"Codman Park & Brinton St, Roxbury, MA 02119",-71.092611000001,42.320376000003,424,1,200,,2026-06-04T18:05:39.041Z
coleman street,hamilton street,Coleman St,Hamilton St,Coleman St and Hamilton St,ok,1,"Coleman St & Hamilton St, Dorchester, MA 02122",-71.067946500001,42.306939000003,333,1,200,,2026-06-04T18:05:40.152Z
coleman street,hendry street,Coleman St,Hendry St,Coleman St and Hendry St,ok,1,"Coleman St & Hendry St, Dorchester, MA 02122",-71.064855000001,42.309180000003,414,1,200,,2026-06-04T18:05:41.434Z
coleman street,quincy street,Coleman St,Quincy St,Coleman St and Quincy St,ok,1,"Coleman St & Quincy St, Dorchester, MA 02125",-71.065710000001,42.308604000003,444,1,200,,2026-06-04T18:05:42.665Z
coleus park,intervale street,Coleus Park,Intervale St,Coleus Park and Intervale St,ok,1,"Coleus Park & Intervale St, Dorchester, MA 02121",-71.076105000001,42.310035000003,329,1,200,,2026-06-04T18:05:43.751Z
coleus park,lawrence avenue,Coleus Park,Lawrence Ave,Coleus Park and Lawrence Ave,ok,1,"Coleus Park & Lawrence Ave, Dorchester, MA 02121",-71.075137500001,42.310971000003,278,1,200,,2026-06-04T18:05:44.900Z
colgate road,washington street,Colgate Rd,Washington St,Colgate Rd and Washington St,ok,1,"Colgate Rd & Washington St, Roslindale, MA 02131",-71.120839500001,42.293304000003,311,1,200,,2026-06-04T18:05:46.135Z
colliston road,kilsyth road,Colliston Rd,Kilsyth Rd,Colliston Rd and Kilsyth Rd,ok,1,"Colliston Rd & Kilsyth Rd, Brighton, MA 02135",-71.144689500001,42.339726000003,360,1,200,,2026-06-04T18:05:47.384Z
colliston road,lanark road,Colliston Rd,Lanark Rd,Colliston Rd and Lanark Rd,ok,1,"Colliston Rd & Lanark Rd, Brighton, MA 02135",-71.145864000001,42.339420000003,299,1,200,,2026-06-04T18:05:48.524Z
colonial avenue,new england avenue,Colonial Ave,New England Ave,Colonial Ave and New England Ave,ok,1,"Colonial Ave & New England Ave, Dorchester, MA 02124",-71.078098500001,42.290136000003,385,1,200,,2026-06-04T18:05:49.812Z
colonial avenue,talbot avenue,Colonial Ave,Talbot Ave,Colonial Ave and Talbot Ave,ok,1,"Colonial Ave & Talbot Ave, Dorchester, MA 02124",-71.074593000001,42.290982000003,321,1,200,,2026-06-04T18:05:50.948Z
colorado street,mattapan street,Colorado St,Mattapan St,Colorado St and Mattapan St,ok,1,"Colorado St & Mattapan St, Mattapan, MA 02126",-71.097246000001,42.279201000003,446,1,200,,2026-06-04T18:05:52.274Z
colorado street,messinger street,Colorado St,Messinger St,Colorado St and Messinger St,ok,1,"Colorado St & Messinger St, Mattapan, MA 02126",-71.102106000001,42.274944000003,648,1,200,,2026-06-04T18:05:53.677Z
columbia road,blue hill avenue,Columbia Rd,Blue Hill Ave,Columbia Rd and Blue Hill Ave,ok,1,"Columbia Rd & Blue Hill Ave, Roxbury, MA 02121",-71.085271500001,42.303402000003,497,1,200,,2026-06-04T18:05:54.727Z
columbia road,dorchester avenue,Columbia Rd,Dorchester Ave,Columbia Rd and Dorchester Ave,ok,2,"Columbia Rd & Dorchester Ave, Dorchester, MA 02125",-71.056768500001,42.320727000003,461,1,200,,2026-06-04T18:05:55.892Z
columbia road,dudley street,Columbia Rd,Dudley St,Columbia Rd and Dudley St,ok,1,"Columbia Rd & Dudley St, Dorchester, MA 02125",-71.065215000001,42.317064000003,1359,1,200,,2026-06-04T18:05:57.990Z
columbia road,east cottage street,Columbia Rd,East Cottage St,Columbia Rd and East Cottage St,ok,2,"Columbia Rd & E Cottage St, Dorchester, MA 02125",-71.061939000001,42.320331000003,298,1,200,,2026-06-04T18:05:58.290Z
columbia road,farragut road,Columbia Rd,Farragut Rd,Columbia Rd and Farragut Rd,ok,1,"Columbia Rd & Farragut Rd, South Boston, MA 02127",-71.024953500001,42.333120000003,328,1,200,,2026-06-04T18:05:59.524Z
columbia road,geneva avenue,Columbia Rd,Geneva Ave,Columbia Rd and Geneva Ave,ok,1,"Columbia Rd & Geneva Ave, Dorchester, MA 02121",-71.078395500001,42.306165000003,366,1,200,,2026-06-04T18:06:00.762Z
columbia road,hancock street,Columbia Rd,Hancock Street,Columbia Rd and Hancock Street,ok,1,"Columbia Rd & Hancock St, Dorchester, MA 02125",-71.066412000001,42.315678000003,343,1,200,,2026-06-04T18:06:01.942Z
columbia road,k street,Columbia Rd,K St,Columbia Rd and K St,ok,1,"Columbia Rd & K St, South Boston, MA 02127",-71.037252000001,42.329727000003,352,1,200,,2026-06-04T18:06:03.151Z
columbia road,old colony avenue,Columbia Rd,Old Colony Ave,Columbia Rd and Old Colony Ave,ok,4,"Columbia Rd & Old Colony Ave, Dorchester, MA 02127",-71.052034500001,42.321438000003,498,1,200,,2026-06-04T18:06:04.497Z
columbia road,quincy street,Columbia Rd,Quincy St,Columbia Rd and Quincy St,ok,1,"Columbia Rd & Quincy St, Dorchester, MA 02125",-71.070241500001,42.311349000003,357,1,200,,2026-06-04T18:06:05.557Z
columbia road,upham's court,Columbia Rd,Upham's Ct,Columbia Rd and Upham's Ct,ok,1,"Columbia Rd & Upham's Ct, Dorchester, MA 02125",-71.063694000001,42.318198000003,387,1,200,,2026-06-04T18:06:06.788Z
columbia road,washington street,Columbia Rd,Washington St,Columbia Rd and Washington St,ok,1,"Columbia Rd & Washington St, Dorchester, MA 02121",-71.080578000001,42.305445000003,414,1,200,,2026-06-04T18:06:08.017Z
columbia road,william j. day boulevard,Columbia Rd,William J. Day Blvd,Columbia Rd and William J. Day Blvd,ok,2,"Columbia Rd & William J Day Blvd, South Boston, MA 02127",-71.044915500001,42.330204000003,482,1,200,,2026-06-04T18:06:09.286Z
columbus avenue,boylston street,Columbus Ave,Boylston St,Columbus Ave and Boylston St,no_match,0,,,,137,1,200,,2026-06-04T18:06:10.142Z
